3000	1	0.5832	0.2155
3050	1	0.5938	0.2236
3100	1	0.6058	0.2325
3150	1	0.6102	0.2437
3200	1	0.6164	0.2558
3250	1	0.6286	0.2649
3300	1	0.6353	0.2739
3350	1	0.6441	0.2833
3400	1	0.6486	0.2919
3450	1	0.6605	0.3024
3500	1	0.6644	0.3137
3550	1	0.6737	0.3248
3600	1	0.6812	0.3364
3650	1	0.689	0.3469
3700	1	0.694	0.3583
3750	1	0.7046	0.3714
3800	1	0.7083	0.3801
3850	1	0.7174	0.3916
3900	1	0.7214	0.4018
3950	1	0.7306	0.4104
4000	1	0.734	0.4228
4050	1	0.743	0.4331
4100	1	0.7493	0.4451
4150	1	0.7525	0.4539
4200	1	0.7578	0.4659
4250	1	0.7688	0.4779
4300	1	0.7728	0.4879
4350	1	0.7771	0.4973
4400	1	0.7837	0.5085
4450	1	0.7876	0.5203
4500	1	0.7955	0.5299
4550	1	0.8029	0.5415
4600	1	0.8082	0.5547
4650	1	0.8129	0.5634
4700	1	0.8164	0.5747
4750	1	0.8208	0.5816
4800	1	0.823	0.592
4850	1	0.8326	0.6044
4900	1	0.8328	0.6133
4950	1	0.8386	0.6293
5000	1	0.845	0.6348
5050	1	0.852	0.6475
5100	1	0.8551	0.6555
5150	1	0.86	0.6681
5200	1	0.8635	0.674
5250	1	0.8643	0.6829
5300	1	0.8716	0.692
5350	1	0.8698	0.6992
5400	1	0.8722	0.7104
5450	1	0.8791	0.7168
5500	1	0.878	0.7277
5550	1	0.878	0.7277
5600	1	0.8917	0.7491
5650	1	0.8941	0.7569
5700	1	0.8989	0.7692
5750	1	0.8897	0.7688
5800	1	0.91	0.7862
5850	1	0.9165	0.8032
5900	1	0.9167	0.8072
5950	1	0.9141	0.8139
6000	1	0.9111	0.8193
6050	1	0.925	0.8315
6100	1	0.925	0.8429
6150	1	0.9287	0.8518
6200	1	0.9301	0.8578
6250	1	0.9343	0.8674
6300	1	0.9405	0.8796
6350	1	0.9354	0.8862
6400	1	0.942	0.8941
6450	1	0.9481	0.9048
6500	1	0.9412	0.9075
6550	1	0.95	0.9236
6600	1	0.9536	0.9273
6650	1	0.9532	0.9355
6700	1	0.9568	0.9451
6750	1	0.9569	0.9514
6800	1	0.9613	0.9613
6850	1	0.9674	0.97
6900	1	0.966	0.9778
6950	1	0.9656	0.9809
7000	1	0.9723	0.99
7050	1	0.9735	1
7100	0.9925	0.9687	1
7150	0.9828	0.9661	1
7200	0.9803	0.959	1
7250	0.9736	0.955	1
7300	0.9657	0.9442	1
7350	0.9593	0.9422	1
7400	0.9529	0.9401	1
7450	0.9387	0.9378	1
7500	0.9369	0.9316	1
7550	0.9369	0.9316	1
7600	0.9178	0.9191	1
7650	0.9178	0.9191	1
7700	0.9178	0.9191	1
7750	0.9071	0.908	1
7800	0.9016	0.8992	1
7850	0.9016	0.8992	1
7900	0.8911	0.8975	1
7950	0.8864	0.8962	1
8000	0.8783	0.8878	1
