0	0	0	0	0	0
256	0	0	263	1	0
512	0	0	518	2	0
768	0	0	768	2	0
1024	0	0	1018	2	0
1280	0	0	1283	3	0
1536	0	0	1519	3	0
1792	0	0	1768	4	0
2048	0	0	2019	4	0
2303	0	0	2279	5	0
2559	0	0	2534	5	0
2815	0	0	2783	6	0
3071	0	0	3033	6	0
3327	0	0	3266	6	0
3583	0	0	3534	7	0
3839	0	0	3784	7	0
4095	0	0	4046	8	0
0	256	0	0	246	0
256	256	0	261	248	0
512	256	0	516	250	0
768	256	0	767	250	0
1024	256	0	1018	251	0
1280	256	0	1284	251	0
1536	256	0	1519	251	0
1792	256	0	1769	251	0
2048	256	0	2019	252	0
2303	256	0	2282	253	0
2559	256	0	2537	253	0
2815	256	0	2786	253	0
3071	256	0	3034	252	0
3327	256	0	3268	254	0
3583	256	0	3536	254	0
3839	256	0	3786	253	0
4095	256	0	4046	254	0
0	512	0	0	492	0
256	512	0	260	497	0
512	512	0	514	498	0
768	512	0	764	498	0
1024	512	0	1015	498	0
1280	512	0	1282	499	0
1536	512	0	1515	498	0
1792	512	0	1766	498	0
2048	512	0	2015	500	0
2303	512	0	2277	500	0
2559	512	0	2528	499	0
2815	512	0	2783	500	0
3071	512	0	3033	500	0
3327	512	0	3260	500	0
3583	512	0	3526	499	0
3839	512	0	3786	501	0
4095	512	0	4036	501	0
0	768	0	0	724	0
256	768	0	259	730	0
512	768	0	513	731	0
768	768	0	763	730	0
1024	768	0	1013	731	0
1280	768	0	1281	732	0
1536	768	0	1513	730	0
1792	768	0	1765	731	0
2048	768	0	2013	733	0
2303	768	0	2280	735	0
2559	768	0	2530	733	0
2815	768	0	2782	732	0
3071	768	0	3032	732	0
3327	768	0	3258	731	0
3583	768	0	3532	734	0
3839	768	0	3784	733	0
4095	768	0	4033	732	0
0	1024	0	0	957	0
256	1024	0	258	964	0
512	1024	0	512	965	0
768	1024	0	762	966	0
1024	1024	0	1012	966	0
1280	1024	0	1278	966	0
1536	1024	0	1512	966	0
1792	1024	0	1761	964	0
2048	1024	0	2007	966	0
2303	1024	0	2275	970	0
2559	1024	0	2525	967	0
2815	1024	0	2776	965	0
3071	1024	0	3026	965	0
3327	1024	0	3257	967	0
3583	1024	0	3524	966	0
3839	1024	0	3776	966	0
4095	1024	0	4034	968	0
0	1280	0	0	1200	0
256	1280	0	257	1208	0
512	1280	0	511	1210	0
768	1280	0	760	1211	0
1024	1280	0	1009	1211	0
1280	1280	0	1274	1211	0
1536	1280	0	1509	1212	0
1792	1280	0	1758	1210	0
2048	1280	0	2004	1211	0
2303	1280	0	2271	1215	0
2559	1280	0	2521	1212	0
2815	1280	0	2773	1210	0
3071	1280	0	3022	1210	0
3327	1280	0	3249	1209	0
3583	1280	0	3520	1212	0
3839	1280	0	3773	1211	0
4095	1280	0	4030	1213	0
0	1536	0	0	1426	0
256	1536	0	256	1436	0
512	1536	0	510	1438	0
768	1536	0	759	1440	0
1024	1536	0	1008	1437	0
1280	1536	0	1273	1438	0
1536	1536	0	1508	1440	0
1792	1536	0	1756	1437	0
2048	1536	0	2003	1439	0
2303	1536	0	2269	1443	0
2559	1536	0	2520	1440	0
2815	1536	0	2772	1438	0
3071	1536	0	3021	1437	0
3327	1536	0	3245	1436	0
3583	1536	0	3518	1439	0
3839	1536	0	3772	1438	0
4095	1536	0	4028	1441	0
0	1792	0	0	1654	0
256	1792	0	256	1662	0
512	1792	0	509	1665	0
